unit_ref,unit_serial,answer_id,clarity_level,clarity_name,text,was
MGK-Gambler,21,0,3,casino-advisor,Ask again._Some tables_read twice.,ASK ME AGAIN._SOME TABLES_YOU READ TWICE.
MGK-Gambler,21,1,3,casino-advisor,Not yet. The_hand is still_being dealt.,NOT YET._THE HAND IS STILL_BEING DEALT.
MGK-Gambler,21,2,3,casino-advisor,Even I don't_call a card_before it turns.,EVEN I DON'T_CALL A CARD_BEFORE IT TURNS.
MGK-Gambler,21,3,3,casino-advisor,Too much_smoke. Give_it a moment.,TOO MUCH_SMOKE TONIGHT._GIVE IT A MOMENT.
MGK-Gambler,21,4,3,casino-advisor,Count your_money while_it's still yours.,COUNT YOUR MONEY_WHILE IT'S_STILL YOURS.
MGK-Gambler,21,5,3,casino-advisor,The house has_the odds._It always does.,THE ODDS FAVOR_THE HOUSE._THEY ALWAYS DO.
MGK-Gambler,21,6,3,casino-advisor,No. One day I_hope you_understand.,NO._ONE DAY I HOPE_YOU UNDERSTAND.
MGK-Gambler,21,7,3,casino-advisor,Sources say_no. They know_the odds.,MY SOURCES SAY NO._MY SOURCES_KNOW THE ODDS.
MGK-Gambler,21,8,3,casino-advisor,Not good. I've_seen this_hand before.,THE OUTLOOK IS NOT_GOOD. I'VE SEEN_THIS HAND BEFORE.
MGK-Gambler,21,9,3,casino-advisor,The smart_money left an_hour ago.,THE SMART MONEY_LEFT AN HOUR AGO.
MGK-Gambler,21,10,3,casino-advisor,"As I see it, yes._And I see_plenty.","AS I SEE IT, YES._AND I SEE PLENTY_IN THIS CASE."
MGK-Gambler,21,11,3,casino-advisor,It is certain._Don't bet_against it.,IT IS CERTAIN._SOME THINGS YOU DON'T_BET AGAINST.
MGK-Gambler,21,12,3,casino-advisor,It was done_the moment_you asked.,IT IS DONE. IT_WAS DONE THE_MOMENT YOU ASKED.
MGK-Gambler,21,13,3,casino-advisor,Most likely._The table_likes you.,"MOST LIKELY, YES._THE TABLE LEANS_YOUR WAY TONIGHT."
MGK-Gambler,21,14,3,casino-advisor,The outlook is_good. Enjoy it_while it holds.,THE OUTLOOK IS GOOD._ENJOY IT WHILE_IT HOLDS.
MGK-Gambler,21,15,3,casino-advisor,Good signs._I've read them_all my life.,THE SIGNS ARE GOOD._I'VE BEEN READING_THEM ALL MY LIFE.
MGK-Gambler,21,16,3,casino-advisor,Yes. Juan has_seen it a_hundred times.,YES._JUAN HAS SEEN IT_A HUNDRED TIMES.
MGK-Gambler,21,17,3,casino-advisor,"Yes, my friend._Remember_who told you.","YES, MY FRIEND._AND WHEN IT HAPPENS,_REMEMBER WHO TOLD YOU."
MGK-Gambler,21,18,3,casino-advisor,Rely on it_the way you_rely on me.,RELY ON IT LIKE_YOU RELY ON ME._COMPLETELY.
MGK-Gambler,21,19,3,casino-advisor,No doubt. And_I've had my_share of them.,WITHOUT A DOUBT._AND I'VE HAD MY_SHARE OF DOUBTS.
